Time,"Temp:Acpitz,0","Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Iwlwifi_1,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0","Temp:Pch_Skylake,0","Temp:Cpu,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0","Power:psys,0","Fan:thinkpad,0"
2024-08-03_09:02:08,51.0,52.0,50.0,51.0,51.0,52.0,42.0,39.9,39.9,39.9,45.0,51.0,697.5,400.0,1226.6,400.0,866.4,400.0,800.0,400.0,1086.8,6.5,0.0,0.0,2.6,0.0,0.0,42.1,5.0,0.0,3.3,1.0,0,0.9,8.0,3678
2024-08-03_09:02:10,52.0,50.0,48.0,48.0,50.0,50.0,43.0,39.9,39.9,39.9,45.0,52.0,550.0,400.0,800.1,400.0,400.0,799.5,400.0,800.0,958.3,4.4,9.7,4.1,3.2,1.9,5.1,5.0,3.7,2.8,3.9,1.7,0.0,0.9,7.9,3679
2024-08-03_09:02:13,51.0,50.0,48.0,48.0,50.0,50.0,42.0,39.9,39.9,39.9,45.0,51.0,649.6,400.0,1196.7,828.1,800.1,853.5,800.0,400.0,800.0,5.3,9.8,8.9,3.3,4.2,3.7,4.7,5.7,3.7,3.7,1.6,0.0,0.9,7.7,3679
2024-08-03_09:02:15,50.0,50.0,48.0,48.0,50.0,50.0,42.0,39.9,39.9,39.9,45.0,50.0,750.0,800.0,400.0,800.1,800.0,800.0,800.0,800.2,800.0,4.9,12.6,3.8,5.1,4.6,1.4,7.9,2.3,1.4,3.6,1.4,0.0,0.9,7.7,3678
2024-08-03_09:02:17,50.0,50.0,48.0,48.0,50.0,50.0,46.0,39.9,39.9,39.9,45.0,50.0,750.1,800.0,800.2,800.1,800.1,400.0,800.0,800.0,800.1,4.9,7.5,2.3,6.0,3.3,6.5,6.6,4.7,3.2,3.8,1.7,0.0,0.9,8.0,3680
2024-08-03_09:02:19,51.0,50.0,48.0,48.0,50.0,50.0,42.0,39.9,39.9,39.9,45.0,51.0,500.0,800.2,400.0,400.0,400.0,400.0,800.0,400.0,400.0,4.4,3.3,2.3,2.3,0.9,4.2,6.1,6.1,6.2,3.6,1.6,0.0,0.9,7.5,3679
2024-08-03_09:02:21,51.0,51.0,48.0,48.0,50.0,50.0,42.0,39.9,39.9,39.9,44.5,51.0,550.0,800.1,400.0,400.0,400.0,400.0,800.0,800.0,400.0,4.5,3.3,3.3,8.3,5.1,2.8,5.1,9.2,2.3,3.7,1.5,0.0,0.9,7.6,3676
2024-08-03_09:02:23,51.0,50.0,48.0,48.0,50.0,50.0,42.0,39.9,39.9,39.9,45.0,51.0,550.0,400.0,800.0,400.0,800.1,799.7,400.0,800.0,400.0,4.7,2.3,3.7,2.3,1.4,5.6,2.8,11.1,6.9,3.6,1.5,0.0,0.9,7.6,3677
2024-08-03_09:02:25,51.0,52.0,49.0,50.0,52.0,52.0,42.0,39.9,39.9,39.9,45.0,51.0,650.1,800.2,400.0,800.1,800.1,800.0,400.0,800.0,400.0,6.7,2.8,3.7,1.4,14.0,6.0,11.7,12.1,1.4,4.7,2.6,0.0,0.9,8.9,3676
2024-08-03_09:02:28,51.0,61.0,54.0,61.0,53.0,58.0,43.0,39.9,39.9,39.9,45.0,51.0,3262.7,3622.0,3726.5,3711.4,3617.7,3740.9,3681.9,3600.8,400.0,9.7,2.8,6.5,8.4,13.5,5.2,7.4,31.9,0.9,5.9,3.5,0.2,1.0,10.9,3676
2024-08-03_09:02:30,52.0,50.0,48.0,48.0,50.0,51.0,42.0,39.9,39.9,39.9,45.0,52.0,650.0,800.0,400.0,800.0,800.1,1161.8,400.0,800.0,799.8,7.3,5.0,11.2,8.8,14.0,5.1,3.7,6.9,5.1,3.6,1.6,0.0,0.9,7.6,3678
2024-08-03_09:02:32,53.0,50.0,48.0,49.0,50.0,50.0,42.0,39.9,39.9,39.9,45.0,53.0,600.0,400.0,800.1,800.0,800.2,400.0,800.1,400.0,400.0,5.4,4.2,7.9,7.9,4.7,3.2,9.3,4.2,2.8,3.6,1.5,0.0,0.9,7.4,3678
2024-08-03_09:02:34,52.0,50.0,48.0,48.0,50.0,50.0,42.0,39.9,39.9,39.9,45.0,52.0,550.0,400.0,400.0,800.0,800.2,400.0,400.0,400.0,799.9,4.8,2.3,8.9,6.5,3.3,2.3,8.9,1.9,2.4,3.9,1.7,0.0,0.9,8.0,3678
2024-08-03_09:02:36,51.0,50.0,48.0,48.0,50.0,50.0,42.0,39.9,39.9,39.9,44.5,51.0,650.1,800.2,400.0,800.0,800.2,400.0,400.0,800.0,400.0,4.0,2.3,2.3,5.1,3.7,1.9,6.5,5.1,6.0,3.6,1.6,0.0,0.9,7.4,3676
2024-08-03_09:02:38,50.0,50.0,48.0,48.0,50.0,50.0,43.0,39.9,39.9,39.9,45.0,50.0,600.0,400.0,800.0,800.0,800.0,400.0,400.0,400.0,800.0,6.8,14.4,7.8,9.7,3.7,2.8,5.5,4.7,5.6,4.7,2.7,0.0,0.9,8.9,3676
2024-08-03_09:02:40,50.0,51.0,49.0,49.0,50.0,51.0,42.0,39.9,39.9,39.9,45.0,50.0,550.0,800.0,400.0,800.1,800.0,400.0,400.0,400.0,400.0,10.4,22.6,5.2,24.8,7.9,4.2,6.0,3.3,9.8,5.7,3.4,0.2,1.0,10.5,3676
2024-08-03_09:02:43,51.0,51.0,49.0,49.0,50.0,51.0,43.0,39.9,39.9,39.9,45.0,51.0,600.0,800.0,800.1,400.0,400.0,400.0,400.0,800.0,800.0,5.2,8.2,13.5,3.8,3.4,3.4,2.9,3.9,2.4,3.7,1.6,0.0,0.9,7.7,3676
2024-08-03_09:02:45,52.0,79.0,76.0,74.0,80.0,80.0,42.0,39.9,39.9,39.9,45.0,52.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,13.3,13.9,18.0,11.0,12.7,12.9,12.0,12.0,13.7,6.8,4.7,0.0,0.9,11.6,3676
2024-08-03_09:02:47,53.0,80.0,76.0,75.0,79.0,80.0,42.0,39.9,39.9,39.9,49.0,53.0,3269.3,3269.3,3269.3,3269.3,3269.2,3269.3,3269.3,3300.0,3300.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,32.7,30.5,0.2,1.0,42.7,3676
2024-08-03_09:02:49,61.0,80.0,76.0,75.0,78.0,80.0,43.0,39.9,39.9,39.9,50.5,61.0,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0,99.9,100.0,100.0,100.0,100.0,100.0,99.5,100.0,100.0,29.5,27.2,0.1,1.0,38.7,3677
2024-08-03_09:02:51,70.0,80.0,77.0,76.0,79.0,80.0,42.0,39.9,39.9,39.9,52.5,70.0,3178.0,3197.3,3197.3,3197.3,3197.3,3197.3,3197.3,3197.3,3197.3,99.9,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,27.7,25.3,0.0,0.9,36.7,3816
2024-08-03_09:02:53,79.0,80.0,76.0,76.0,80.0,80.0,42.0,39.9,39.9,39.9,53.5,79.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.5,25.8,23.6,0.0,0.9,34.3,4273
2024-08-03_09:02:55,79.0,80.0,77.0,76.0,80.0,81.0,42.0,39.9,39.9,39.9,55.0,79.0,2980.0,2980.0,2980.0,2980.0,2980.0,2980.0,2980.0,2980.0,2980.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.8,22.5,0.1,0.9,33.1,4385
2024-08-03_09:02:57,80.0,80.0,77.0,76.0,78.0,79.0,42.0,39.9,39.9,40.9,56.0,80.0,2917.0,2917.0,2917.0,2917.0,2917.0,2917.1,2917.0,2917.0,2917.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.5,21.3,0.0,0.9,31.6,4477
2024-08-03_09:03:00,80.0,80.0,77.0,76.0,80.0,80.0,42.0,39.9,39.9,41.9,57.0,80.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,22.8,20.4,0.0,0.9,31.2,4754
2024-08-03_09:03:02,80.0,80.0,77.0,77.0,79.0,80.0,42.0,39.9,39.9,40.9,57.0,80.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.6,19.4,0.0,0.9,29.4,4680
2024-08-03_09:03:04,80.0,80.0,77.0,77.0,80.0,80.0,42.0,39.9,39.9,39.9,57.5,80.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,2800.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.3,19.0,0.0,0.9,28.8,4672
